order_id,order_number,customer_id,order_date,ship_date,subtotal,tax,freight,total,total_cost,margin,status,payment_status,po_number
1,ORD-202301-00001,22,2023-01-21,2023-01-25,9912.93,594.78,101.15,10608.86,7770.02,0.2162,DELIVERED,PAID,PO-00022-3988
2,ORD-202301-00002,104,2023-01-05,2023-01-10,4283.00,283.75,70.58,4637.33,2641.57,0.3832,DELIVERED,PAID,PO-00104-8912
3,ORD-202301-00003,26,2023-01-16,2023-01-16,3122.38,165.49,96.21,3384.08,2195.11,0.297,DELIVERED,PAID,PO-00026-5778
4,ORD-202301-00004,72,2023-01-06,2023-01-06,4468.81,236.85,105.91,4811.57,2770.99,0.3799,DELIVERED,PAID,PO-00072-5204
5,ORD-202301-00005,105,2023-01-03,2023-01-04,3367.77,178.49,101.57,3647.83,2213.49,0.3427,DELIVERED,PAID,PO-00105-8740
6,ORD-202301-00006,141,2023-01-19,2023-01-19,3087.40,204.54,59.75,3351.69,2224.96,0.2793,DELIVERED,PAID,PO-00141-5248
7,ORD-202301-00007,112,2023-01-09,2023-01-12,3274.40,216.93,117.57,3608.90,2107.65,0.3563,DELIVERED,PAID,PO-00112-5975
8,ORD-202301-00008,32,2023-01-04,2023-01-09,3685.74,221.14,113.16,4020.04,2336.23,0.3661,DELIVERED,PAID,PO-00032-8543
9,ORD-202301-00009,104,2023-01-12,2023-01-16,1209.60,80.14,52.46,1342.20,688.17,0.4311,DELIVERED,PAID,PO-00104-8959
10,ORD-202301-00010,116,2023-01-20,2023-01-24,9073.01,544.38,139.21,9756.60,5457.24,0.3985,DELIVERED,PAID,PO-00116-6030
11,ORD-202301-00011,86,2023-01-10,2023-01-10,5056.90,303.41,99.10,5459.41,3120.55,0.3829,DELIVERED,PAID,PO-00086-6453
12,ORD-202301-00012,42,2023-01-24,2023-01-26,1664.13,99.85,56.64,1820.62,1133.87,0.3186,DELIVERED,PAID,PO-00042-6583
13,ORD-202301-00013,16,2023-01-06,2023-01-10,601.24,36.07,64.98,702.29,367.49,0.3888,DELIVERED,PAID,PO-00016-1638
14,ORD-202301-00014,18,2023-01-18,2023-01-19,712.56,42.75,38.88,794.19,514.23,0.2783,DELIVERED,PAID,PO-00018-6283
15,ORD-202301-00015,53,2023-01-13,2023-01-18,3939.34,236.36,79.86,4255.56,2381.94,0.3953,DELIVERED,PAID,PO-00053-6297
16,ORD-202301-00016,55,2023-01-20,2023-01-24,13888.08,736.07,189.34,14813.49,10272.30,0.2604,DELIVERED,PAID,PO-00055-1404
17,ORD-202301-00017,85,2023-01-24,2023-01-25,2927.19,175.63,76.23,3179.05,1896.23,0.3522,DELIVERED,PAID,PO-00085-1555
18,ORD-202301-00018,53,2023-01-04,2023-01-06,2872.36,172.34,91.77,3136.47,1758.47,0.3878,DELIVERED,PAID,PO-00053-5311
19,ORD-202301-00019,93,2023-01-30,2023-02-01,4004.08,240.24,85.31,4329.63,2558.76,0.361,DELIVERED,PAID,PO-00093-5203
20,ORD-202301-00020,53,2023-01-06,2023-01-11,3727.81,223.67,92.47,4043.95,2352.34,0.369,DELIVERED,PAID,PO-00053-9524
21,ORD-202301-00021,130,2023-01-03,2023-01-03,2534.92,167.94,60.35,2763.21,1716.71,0.3228,DELIVERED,PAID,PO-00130-1911
22,ORD-202301-00022,23,2023-01-07,2023-01-09,2087.06,125.22,114.31,2326.59,1283.99,0.3848,DELIVERED,PAID,PO-00023-3644
23,ORD-202301-00023,120,2023-01-26,2023-01-30,877.79,52.67,30.12,960.58,621.22,0.2923,DELIVERED,PAID,PO-00120-5448
24,ORD-202301-00024,133,2023-01-02,2023-01-04,3161.07,167.54,52.43,3381.04,2012.19,0.3634,DELIVERED,PAID,PO-00133-7743
25,ORD-202301-00025,73,2023-01-10,2023-01-11,1730.71,114.66,45.79,1891.16,1057.58,0.3889,DELIVERED,PARTIAL,PO-00073-8216
26,ORD-202301-00026,63,2023-01-30,2023-02-02,2788.53,167.31,58.47,3014.31,1686.74,0.3951,DELIVERED,PAID,PO-00063-1079
27,ORD-202301-00027,3,2023-01-27,2023-01-27,6338.52,419.93,103.91,6862.36,3965.49,0.3744,DELIVERED,PAID,PO-00003-3401
28,ORD-202301-00028,81,2023-01-04,2023-01-04,4472.55,268.35,96.89,4837.79,2680.07,0.4008,DELIVERED,PAID,PO-00081-2616
29,ORD-202301-00029,41,2023-01-18,2023-01-19,6385.19,383.11,199.54,6967.84,3733.01,0.4154,DELIVERED,PAID,PO-00041-7442
30,ORD-202301-00030,47,2023-01-16,2023-01-16,4146.51,274.71,60.41,4481.63,2663.28,0.3577,DELIVERED,PAID,PO-00047-9673
31,ORD-202301-00031,1,2023-01-16,2023-01-16,1096.85,65.81,36.77,1199.43,693.60,0.3676,DELIVERED,PAID,PO-00001-5897
32,ORD-202301-00032,43,2023-01-02,2023-01-02,11236.14,744.39,108.01,12088.54,8449.94,0.248,DELIVERED,PAID,PO-00043-9481
33,ORD-202301-00033,50,2023-01-02,2023-01-03,7062.69,467.90,177.02,7707.61,4247.59,0.3986,DELIVERED,PAID,PO-00050-5685
34,ORD-202301-00034,13,2023-01-10,2023-01-11,1999.38,132.46,40.84,2172.68,1222.68,0.3885,DELIVERED,OVERDUE,PO-00013-9383
35,ORD-202301-00035,5,2023-01-21,2023-01-25,3651.56,219.09,81.44,3952.09,2315.94,0.3658,DELIVERED,PAID,PO-00005-7404
36,ORD-202301-00036,141,2023-01-10,2023-01-13,8094.49,536.26,175.23,8805.98,5151.32,0.3636,DELIVERED,PAID,PO-00141-8267
37,ORD-202301-00037,144,2023-01-30,2023-02-02,8943.04,536.58,158.15,9637.77,7286.81,0.1852,DELIVERED,PAID,PO-00144-9993
