product_id,sku,name,manufacturer,category_l1,category_l2,cost,price,msrp,uom,min_order_qty,status
1,RES-DBL-001,Single Cylinder Deadbolt - Satin Nickel,Schlage,Residential Locks,Deadbolts,51.68,74.84,103.20,EA,1,ACTIVE
2,RES-DBL-002,Single Cylinder Deadbolt - Aged Bronze,Schlage,Residential Locks,Deadbolts,82.34,117.71,171.75,EA,1,ACTIVE
3,RES-DBL-003,Single Cylinder Deadbolt - Matte Black,Schlage,Residential Locks,Deadbolts,70.09,102.47,147.11,EA,1,ACTIVE
4,RES-DBL-004,Single Cylinder Deadbolt - Polished Brass,Kwikset,Residential Locks,Deadbolts,30.33,42.89,57.09,EA,1,ACTIVE
5,RES-DBL-005,Double Cylinder Deadbolt - Satin Nickel,Yale,Residential Locks,Deadbolts,72.66,105.22,139.26,EA,1,ACTIVE
6,RES-DBL-006,Double Cylinder Deadbolt - Aged Bronze,Schlage,Residential Locks,Deadbolts,75.01,106.94,154.16,EA,1,ACTIVE
7,RES-DBL-007,Double Cylinder Deadbolt - Polished Chrome,Kwikset,Residential Locks,Deadbolts,18.82,26.17,41.82,EA,1,ACTIVE
8,RES-DBL-008,Single Cylinder Deadbolt - Bright Chrome,Weiser,Residential Locks,Deadbolts,54.61,79.23,117.82,EA,1,ACTIVE
9,RES-DBL-009,Jimmy-Proof Deadlock - Silver,Kwikset,Residential Locks,Deadbolts,35.56,50.38,75.18,EA,1,ACTIVE
10,RES-DBL-010,High Security Deadbolt - Satin Chrome,Schlage,Residential Locks,Deadbolts,53.68,75.22,108.03,EA,1,ACTIVE
11,RES-DBL-011,Grade 1 Deadbolt - Brass,Schlage,Residential Locks,Deadbolts,21.20,31.15,45.60,EA,1,ACTIVE
12,RES-DBL-012,Grade 2 Deadbolt - Satin Nickel,Falcon,Residential Locks,Deadbolts,45.81,66.20,89.77,EA,1,ACTIVE
13,RES-KNB-001,Entry Knob Georgian - Satin Nickel,Weiser,Residential Locks,Entry Knobs,19.60,28.30,40.18,EA,1,ACTIVE
14,RES-KNB-002,Entry Knob Georgian - Aged Bronze,Yale,Residential Locks,Entry Knobs,18.88,27.46,42.34,EA,1,ACTIVE
15,RES-KNB-003,Entry Knob Plymouth - Bright Brass,Schlage,Residential Locks,Entry Knobs,16.93,24.38,34.48,EA,1,ACTIVE
16,RES-KNB-004,Entry Knob Plymouth - Satin Chrome,Yale,Residential Locks,Entry Knobs,36.85,51.48,82.11,EA,1,ACTIVE
17,RES-KNB-005,Entry Knob Tylo - Satin Nickel,Weiser,Residential Locks,Entry Knobs,23.28,33.57,52.86,EA,1,ACTIVE
18,RES-KNB-006,Entry Knob Tylo - Polished Brass,Kwikset,Residential Locks,Entry Knobs,55.75,79.50,126.66,EA,1,ACTIVE
19,RES-KNB-007,Privacy Knob - Satin Nickel,Weiser,Residential Locks,Entry Knobs,52.18,75.59,110.91,EA,1,ACTIVE
20,RES-KNB-008,Privacy Knob - Aged Bronze,Yale,Residential Locks,Entry Knobs,25.79,36.52,50.89,EA,1,ACTIVE
21,RES-KNB-009,Passage Knob - Satin Nickel,Yale,Residential Locks,Entry Knobs,43.54,60.68,87.80,EA,1,ACTIVE
22,RES-KNB-010,Passage Knob - Polished Brass,Schlage,Residential Locks,Entry Knobs,45.14,64.07,91.88,EA,1,ACTIVE
23,RES-HND-001,Handleset Camelot - Satin Nickel,Schlage,Residential Locks,Handlesets,136.55,192.78,274.38,EA,1,ACTIVE
24,RES-HND-002,Handleset Camelot - Aged Bronze,Kwikset,Residential Locks,Handlesets,184.51,270.31,352.85,EA,1,ACTIVE
25,RES-HND-003,Handleset Addison - Bright Chrome,Weiser,Residential Locks,Handlesets,158.36,221.49,314.54,EA,1,ACTIVE
26,RES-HND-004,Handleset Addison - Matte Black,Weiser,Residential Locks,Handlesets,130.99,182.71,270.28,EA,1,ACTIVE
27,RES-HND-005,Handleset Century - Satin Nickel,Kwikset,Residential Locks,Handlesets,128.24,181.28,269.19,EA,1,ACTIVE
28,RES-HND-006,Handleset Plymouth - Polished Brass,Kwikset,Residential Locks,Handlesets,247.12,347.01,520.01,EA,1,ACTIVE
29,RES-HND-007,Handleset Georgian - Satin Nickel,Weiser,Residential Locks,Handlesets,77.60,109.97,150.30,EA,1,ACTIVE
30,RES-HND-008,Handleset Brookshire - Aged Bronze,Schlage,Residential Locks,Handlesets,233.56,338.02,499.19,EA,1,ACTIVE
31,RES-HND-009,Handleset Arlington - Matte Black,Kwikset,Residential Locks,Handlesets,124.41,175.65,248.89,EA,1,ACTIVE
32,RES-HND-010,Front Entry Handleset - Satin Chrome,Kwikset,Residential Locks,Handlesets,115.43,163.53,217.92,EA,1,ACTIVE
33,RES-SMT-001,Smart Deadbolt Encode Plus - Satin Nickel,Kwikset,Residential Locks,Smart Locks,86.36,122.33,178.72,EA,1,ACTIVE
34,RES-SMT-002,Smart Deadbolt Encode Plus - Matte Black,Alarm Lock,Residential Locks,Smart Locks,224.84,329.97,507.60,EA,1,ACTIVE
35,RES-SMT-003,Smart Lock Connect - Aged Bronze,Yale,Residential Locks,Smart Locks,113.30,165.36,255.27,EA,1,DISCONTINUED
36,RES-SMT-004,Smart Lock Connect - Satin Chrome,Kwikset,Residential Locks,Smart Locks,183.32,264.53,414.71,EA,1,ACTIVE
37,RES-SMT-005,Wi-Fi Smart Lock - Satin Nickel,Yale,Residential Locks,Smart Locks,237.81,349.22,467.64,EA,1,ACTIVE
38,RES-SMT-006,Wi-Fi Smart Lock - Polished Brass,Schlage,Residential Locks,Smart Locks,174.59,244.86,355.43,EA,1,ACTIVE
39,RES-SMT-007,Bluetooth Smart Lock - Matte Black,Alarm Lock,Residential Locks,Smart Locks,126.28,177.53,248.77,EA,1,ACTIVE
40,RES-SMT-008,Smart Lever with Touchscreen - Satin Nickel,Kwikset,Residential Locks,Smart Locks,237.13,340.21,488.39,EA,1,ACTIVE
41,RES-SMT-009,Smart Deadbolt with Camera - Matte Black,Alarm Lock,Residential Locks,Smart Locks,163.70,233.32,309.30,EA,1,ACTIVE
42,RES-SMT-010,Z-Wave Smart Lock - Satin Nickel,Schlage,Residential Locks,Smart Locks,175.00,251.53,352.96,EA,1,ACTIVE
43,RES-KPD-001,Keypad Deadbolt BE365 - Satin Chrome,Schlage,Residential Locks,Keypad Locks,153.24,218.68,326.89,EA,1,ACTIVE
44,RES-KPD-002,Keypad Deadbolt BE365 - Aged Bronze,Schlage,Residential Locks,Keypad Locks,129.69,187.14,251.82,EA,1,ACTIVE
45,RES-KPD-003,Keypad Lever FE595 - Satin Nickel,Schlage,Residential Locks,Keypad Locks,62.03,88.41,134.51,EA,1,DISCONTINUED
46,RES-KPD-004,Keypad Lever FE595 - Matte Black,Yale,Residential Locks,Keypad Locks,60.55,87.23,123.38,EA,1,ACTIVE
47,RES-KPD-005,Touch Keypad Deadbolt - Satin Nickel,Kwikset,Residential Locks,Keypad Locks,99.31,144.73,224.89,EA,1,ACTIVE
48,RES-KPD-006,Touch Keypad Deadbolt - Polished Brass,Yale,Residential Locks,Keypad Locks,61.40,88.90,122.52,EA,1,ACTIVE
49,RES-KPD-007,Electronic Keypad Lock - Bright Chrome,Schlage,Residential Locks,Keypad Locks,110.88,159.64,249.64,EA,1,ACTIVE
50,RES-KPD-008,Keypad Entry Knob - Satin Nickel,Alarm Lock,Residential Locks,Keypad Locks,171.06,243.69,351.93,EA,1,ACTIVE
51,COM-CYL-001,Cylindrical Lock ND60PD - 626,Schlage,Commercial Hardware,Cylindrical Locks,35.22,56.26,82.39,EA,1,ACTIVE
52,COM-CYL-002,Cylindrical Lock ND80PD - 626,Sargent,Commercial Hardware,Cylindrical Locks,153.81,247.75,368.23,EA,1,ACTIVE
53,COM-CYL-003,Cylindrical Lock ND50PD - 613,Falcon,Commercial Hardware,Cylindrical Locks,174.87,290.75,415.74,EA,1,ACTIVE
54,COM-CYL-004,Cylindrical Lock ND70PD - 626,Yale,Commercial Hardware,Cylindrical Locks,207.20,344.45,489.59,EA,1,ACTIVE
55,COM-CYL-005,Cylindrical Lock ND25D - 626,Best,Commercial Hardware,Cylindrical Locks,181.85,288.05,401.00,EA,1,ACTIVE
56,COM-CYL-006,Heavy Duty Cylindrical Lock - 630,Best,Commercial Hardware,Cylindrical Locks,142.91,236.65,360.42,EA,1,ACTIVE
57,COM-CYL-007,Grade 1 Cylindrical Lockset - Classroom,Schlage,Commercial Hardware,Cylindrical Locks,122.94,189.96,263.81,EA,1,ACTIVE
58,COM-CYL-008,Grade 1 Cylindrical Lockset - Storeroom,Yale,Commercial Hardware,Cylindrical Locks,164.52,267.99,367.88,EA,1,ACTIVE
59,COM-CYL-009,Grade 1 Cylindrical Lockset - Office,Falcon,Commercial Hardware,Cylindrical Locks,147.29,235.54,362.81,EA,1,ACTIVE
60,COM-CYL-010,Grade 2 Cylindrical Lock - Entry,Corbin Russwin,Commercial Hardware,Cylindrical Locks,68.28,110.65,151.56,EA,1,ACTIVE
61,COM-MOR-001,Mortise Lock L9050 - Classroom,Corbin Russwin,Commercial Hardware,Mortise Locks,357.60,555.27,822.48,EA,1,ACTIVE
62,COM-MOR-002,Mortise Lock L9060 - Apartment,Schlage,Commercial Hardware,Mortise Locks,313.59,497.31,705.14,EA,1,ACTIVE
63,COM-MOR-003,Mortise Lock L9080 - Storeroom,Schlage,Commercial Hardware,Mortise Locks,135.74,213.17,321.60,EA,1,ACTIVE
64,COM-MOR-004,Mortise Lock L9070 - Classroom,Yale,Commercial Hardware,Mortise Locks,94.71,155.14,219.54,EA,1,ACTIVE
