line_id,order_id,line_number,product_id,quantity,unit_price,unit_cost,line_total,line_cost
1,1,1,1,9,72.03,51.68,648.27,465.12
2,1,2,106,3,122.39,76.12,367.17,228.36
3,1,3,236,1,8897.49,7076.54,8897.49,7076.54
4,2,1,65,1,397.76,260.29,397.76,260.29
5,2,2,215,2,1176.42,737.88,2352.84,1475.76
6,2,3,143,3,327.35,190.22,982.05,570.66
7,2,4,83,3,183.45,111.62,550.35,334.86
8,3,1,89,2,49.19,31.20,98.38,62.40
9,3,2,212,3,229.65,144.12,688.95,432.36
10,3,3,263,1,186.77,95.24,186.77,95.24
11,3,4,26,5,176.60,130.99,883.00,654.95
12,3,5,25,6,210.88,158.36,1265.28,950.16
13,4,1,118,6,236.50,128.28,1419.00,769.68
14,4,2,103,5,157.93,100.69,789.65,503.45
15,4,3,130,2,1130.08,748.93,2260.16,1497.86
16,5,1,137,4,259.48,172.16,1037.92,688.64
17,5,2,75,4,369.00,243.51,1476.00,974.04
18,5,3,11,6,31.10,21.20,186.60,127.20
19,5,4,79,1,667.25,423.61,667.25,423.61
20,6,1,48,10,88.29,61.40,882.90,614.00
21,6,2,15,4,24.21,16.93,96.84,67.72
22,6,3,28,6,330.80,247.12,1984.80,1482.72
23,6,4,265,1,122.86,60.52,122.86,60.52
24,7,1,63,3,208.20,135.74,624.60,407.22
25,7,2,55,3,284.99,181.85,854.97,545.55
26,7,3,98,9,44.57,29.22,401.13,262.98
27,7,4,164,5,278.74,178.38,1393.70,891.90
28,8,1,9,9,49.81,35.56,448.29,320.04
29,8,2,10,4,72.11,53.68,288.44,214.72
30,8,3,176,18,24.60,14.05,442.80,252.90
31,8,4,49,4,152.38,110.88,609.52,443.52
32,8,5,136,3,55.37,36.78,166.11,110.34
33,8,6,118,6,235.14,128.28,1410.84,769.68
34,8,7,6,3,106.58,75.01,319.74,225.03
35,9,1,244,6,5.86,2.93,35.16,17.58
36,9,2,148,3,171.99,88.92,515.97,266.76
37,9,3,111,3,219.49,134.61,658.47,403.83
38,10,1,22,9,61.61,45.14,554.49,406.26
39,10,2,228,2,1140.75,690.49,2281.50,1380.98
40,10,3,114,4,328.55,209.07,1314.20,836.28
41,10,4,129,2,1299.82,726.37,2599.64,1452.74
42,10,5,228,2,1161.59,690.49,2323.18,1380.98
43,11,1,156,4,175.87,97.55,703.48,390.20
44,11,2,129,1,1281.22,726.37,1281.22,726.37
45,11,3,106,6,118.92,76.12,713.52,456.72
46,11,4,73,2,967.02,634.33,1934.04,1268.66
47,11,5,106,1,119.12,76.12,119.12,76.12
48,11,6,86,8,38.19,25.31,305.52,202.48
49,12,1,2,4,116.08,82.34,464.32,329.36
50,12,2,114,1,318.26,209.07,318.26,209.07
51,12,3,29,2,107.81,77.60,215.62,155.20
52,12,4,170,10,21.53,12.02,215.30,120.20
53,12,5,9,9,50.07,35.56,450.63,320.04
54,13,1,97,1,103.40,69.29,103.40,69.29
55,13,2,253,7,21.80,9.90,152.60,69.30
56,13,3,21,4,59.92,43.54,239.68,174.16
57,13,4,271,7,15.08,7.82,105.56,54.74
58,14,1,106,1,123.43,76.12,123.43,76.12
59,14,2,26,3,175.44,130.99,526.32,392.97
60,14,3,22,1,62.81,45.14,62.81,45.14
61,15,1,203,7,36.55,21.36,255.85,149.52
62,15,2,180,1,510.22,305.62,510.22,305.62
63,15,3,173,21,11.70,6.94,245.70,145.74
64,15,4,181,2,424.61,259.88,849.22,519.76
65,15,5,92,5,415.67,252.26,2078.35,1261.30
66,16,1,87,4,404.00,259.51,1616.00,1038.04
67,16,2,29,1,109.46,77.60,109.46,77.60
68,16,3,237,2,6081.31,4578.33,12162.62,9156.66
69,17,1,160,3,355.15,232.29,1065.45,696.87
70,17,2,23,4,184.94,136.55,739.76,546.20
71,17,3,53,1,284.77,174.87,284.77,174.87
72,17,4,149,3,279.07,159.43,837.21,478.29
73,18,1,171,15,13.75,8.24,206.25,123.60
74,18,2,270,12,25.05,12.01,300.60,144.12
75,18,3,18,4,79.29,55.75,317.16,223.00
76,18,4,166,12,6.71,4.08,80.52,48.96
77,18,5,234,1,1967.83,1218.79,1967.83,1218.79
78,19,1,254,3,7.37,3.49,22.11,10.47
79,19,2,162,6,367.12,237.76,2202.72,1426.56
80,19,3,111,1,223.21,134.61,223.21,134.61
81,19,4,58,6,259.34,164.52,1556.04,987.12
82,20,1,207,3,445.84,267.83,1337.52,803.49
83,20,2,68,1,617.29,397.09,617.29,397.09
84,20,3,253,4,21.06,9.90,84.24,39.60
85,20,4,32,3,160.73,115.43,482.19,346.29
86,20,5,69,3,402.19,255.29,1206.57,765.87
87,21,1,13,6,28.20,19.60,169.20,117.60
88,21,2,15,9,23.58,16.93,212.22,152.37
89,21,3,78,1,1207.57,799.53,1207.57,799.53
90,21,4,47,5,144.65,99.31,723.25,496.55
91,21,5,51,2,55.11,35.22,110.22,70.44
92,21,6,48,1,86.59,61.40,86.59,61.40
93,21,7,7,1,25.87,18.82,25.87,18.82
94,22,1,83,6,178.58,111.62,1071.48,669.72
95,22,2,279,1,339.58,171.59,339.58,171.59
96,22,3,49,2,157.12,110.88,314.24,221.76
97,22,4,200,7,51.68,31.56,361.76,220.92
98,23,1,2,5,115.78,82.34,578.90,411.70
99,23,2,17,9,33.21,23.28,298.89,209.52
100,24,1,61,1,549.63,357.60,549.63,357.60
101,24,2,28,2,337.29,247.12,674.58,494.24
102,24,3,18,1,78.11,55.75,78.11,55.75
103,24,4,148,6,169.72,88.92,1018.32,533.52
104,24,5,89,10,48.07,31.20,480.70,312.00
105,24,6,33,3,119.91,86.36,359.73,259.08
106,25,1,157,1,578.47,355.64,578.47,355.64
107,25,2,121,1,1107.30,678.48,1107.30,678.48
108,25,3,271,3,14.98,7.82,44.94,23.46
109,26,1,24,4,265.88,184.51,1063.52,738.04
110,26,2,189,2,192.54,109.77,385.08,219.54
111,26,3,176,10,24.09,14.05,240.90,140.50
112,26,4,93,5,90.59,58.98,452.95,294.90
113,26,5,275,3,215.36,97.92,646.08,293.76
114,27,1,94,8,30.45,19.18,243.60,153.44
115,27,2,183,2,1789.48,1076.75,3578.96,2153.50
116,27,3,46,4,86.04,60.55,344.16,242.20
117,27,4,174,5,38.21,22.98,191.05,114.90
118,27,5,65,5,396.15,260.29,1980.75,1301.45
119,28,1,92,1,407.85,252.26,407.85,252.26
120,28,2,160,4,362.33,232.29,1449.32,929.16
121,28,3,93,9,90.40,58.98,813.60,530.82
122,28,4,139,3,281.16,142.07,843.48,426.21
123,28,5,136,5,55.50,36.78,277.50,183.90
124,28,6,113,2,340.40,178.86,680.80,357.72
125,29,1,279,4,339.52,171.59,1358.08,686.36
126,29,2,166,17,6.70,4.08,113.90,69.36
127,29,3,183,1,1723.37,1076.75,1723.37,1076.75
128,29,4,183,1,1772.38,1076.75,1772.38,1076.75
129,29,5,180,2,529.84,305.62,1059.68,611.24
130,29,6,187,3,119.26,70.85,357.78,212.55
131,30,1,114,3,322.80,209.07,968.40,627.21
132,30,2,114,2,332.29,209.07,664.58,418.14
133,30,3,49,6,158.11,110.88,948.66,665.28
134,30,4,73,1,1005.05,634.33,1005.05,634.33
135,30,5,13,7,27.86,19.60,195.02,137.20
136,30,6,278,4,91.20,45.28,364.80,181.12
137,31,1,60,5,109.95,68.28,549.75,341.40
138,31,2,51,10,54.71,35.22,547.10,352.20
139,32,1,174,17,38.18,22.98,649.06,390.66
140,32,2,97,6,103.27,69.29,619.62,415.74
141,32,3,236,1,8866.94,7076.54,8866.94,7076.54
142,32,4,276,6,139.17,69.90,835.02,419.40
143,32,5,178,15,17.70,9.84,265.50,147.60
144,33,1,181,1,432.06,259.88,432.06,259.88
145,33,2,152,1,163.53,105.13,163.53,105.13
146,33,3,273,6,252.15,122.95,1512.90,737.70
147,33,4,77,6,474.69,296.75,2848.14,1780.50
148,33,5,255,2,19.17,9.33,38.34,18.66
149,33,6,20,1,34.75,25.79,34.75,25.79
150,33,7,192,5,168.73,105.15,843.65,525.75
151,33,8,68,2,594.66,397.09,1189.32,794.18
152,34,1,173,14,11.93,6.94,167.02,97.16
153,34,2,165,6,41.53,24.90,249.18,149.40
154,34,3,219,2,791.59,488.06,1583.18,976.12
155,35,1,161,2,748.46,470.35,1496.92,940.70
156,35,2,84,5,415.84,267.56,2079.20,1337.80
157,35,3,251,8,9.43,4.68,75.44,37.44
158,36,1,46,9,83.62,60.55,752.58,544.95
159,36,2,213,2,1738.20,1046.19,3476.40,2092.38
160,36,3,120,5,255.88,141.07,1279.40,705.35
161,36,4,28,3,337.35,247.12,1012.05,741.36
162,36,5,68,2,597.98,397.09,1195.96,794.18
163,36,6,23,2,189.05,136.55,378.10,273.10
164,37,1,236,1,8643.37,7076.54,8643.37,7076.54
165,37,2,3,3,99.89,70.09,299.67,210.27
166,38,1,101,10,78.13,51.58,781.30,515.80
167,38,2,74,2,451.81,280.11,903.62,560.22
168,38,3,9,10,48.71,35.56,487.10,355.60
169,38,4,49,2,153.92,110.88,307.84,221.76
170,38,5,49,2,159.41,110.88,318.82,221.76
171,38,6,9,9,50.25,35.56,452.25,320.04
172,39,1,182,1,2248.61,1325.06,2248.61,1325.06
173,39,2,50,3,233.61,171.06,700.83,513.18
174,39,3,253,7,21.12,9.90,147.84,69.30
175,39,4,5,1,100.54,72.66,100.54,72.66
176,40,1,63,3,202.76,135.74,608.28,407.22
177,40,2,219,2,781.56,488.06,1563.12,976.12
178,40,3,161,2,738.24,470.35,1476.48,940.70
179,40,4,137,4,256.78,172.16,1027.12,688.64
180,40,5,129,2,1296.43,726.37,2592.86,1452.74
181,40,6,108,6,167.12,110.63,1002.72,663.78
182,40,7,54,1,328.67,207.20,328.67,207.20
183,41,1,57,4,183.99,122.94,735.96,491.76
184,41,2,86,1,38.81,25.31,38.81,25.31
185,41,3,181,3,424.48,259.88,1273.44,779.64
186,41,4,190,4,156.30,94.91,625.20,379.64
187,42,1,57,3,181.62,122.94,544.86,368.82
188,42,2,20,1,35.39,25.79,35.39,25.79
189,42,3,190,5,156.25,94.91,781.25,474.55
190,42,4,77,4,471.25,296.75,1885.00,1187.00
191,42,5,1,7,71.68,51.68,501.76,361.76
192,42,6,231,2,2295.78,1366.86,4591.56,2733.72
193,42,7,249,3,15.27,7.18,45.81,21.54
194,43,1,163,4,374.51,220.69,1498.04,882.76
195,43,2,5,1,104.11,72.66,104.11,72.66
196,43,3,236,1,8550.29,7076.54,8550.29,7076.54
197,43,4,75,1,369.31,243.51,369.31,243.51
198,43,5,198,5,71.26,41.67,356.30,208.35
199,44,1,196,9,20.01,11.84,180.09,106.56
200,44,2,48,5,87.26,61.40,436.30,307.00
201,44,3,19,8,73.55,52.18,588.40,417.44
202,44,4,34,1,329.76,224.84,329.76,224.84
203,44,5,86,4,38.93,25.31,155.72,101.24
204,44,6,21,3,60.36,43.54,181.08,130.62
205,45,1,277,2,217.66,108.03,435.32,216.06
206,45,2,65,5,391.04,260.29,1955.20,1301.45
207,45,3,27,1,179.27,128.24,179.27,128.24
208,45,4,82,2,548.86,340.38,1097.72,680.76
209,46,1,220,1,1482.90,908.33,1482.90,908.33
210,47,1,44,4,185.99,129.69,743.96,518.76
211,47,2,138,3,194.55,123.14,583.65,369.42
212,47,3,39,3,175.40,126.28,526.20,378.84
213,48,1,241,1,9013.51,7150.83,9013.51,7150.83
214,48,2,57,3,186.04,122.94,558.12,368.82
215,49,1,105,4,146.09,94.23,584.36,376.92
216,49,2,153,3,245.37,153.05,736.11,459.15
217,49,3,71,2,1182.18,733.45,2364.36,1466.90
218,49,4,111,4,224.19,134.61,896.76,538.44
219,50,1,76,1,1117.26,726.32,1117.26,726.32
220,50,2,260,3,162.92,78.42,488.76,235.26
221,50,3,11,4,30.21,21.20,120.84,84.80
222,51,1,141,6,66.06,35.22,396.36,211.32
223,51,2,144,10,72.26,47.01,722.60,470.10
224,51,3,59,1,232.68,147.29,232.68,147.29
225,52,1,157,2,588.38,355.64,1176.76,711.28
226,52,2,143,5,315.13,190.22,1575.65,951.10
227,52,3,155,5,96.20,58.65,481.00,293.25
228,52,4,136,1,55.03,36.78,55.03,36.78
229,52,5,164,2,282.06,178.38,564.12,356.76
230,53,1,3,1,100.71,70.09,100.71,70.09
231,53,2,243,10,11.61,5.55,116.10,55.50
232,53,3,221,2,966.22,599.98,1932.44,1199.96
233,53,4,85,2,62.17,40.40,124.34,80.80
234,53,5,11,3,30.99,21.20,92.97,63.60
235,53,6,166,19,6.95,4.08,132.05,77.52
236,53,7,46,6,86.54,60.55,519.24,363.30
237,53,8,186,1,1363.40,807.95,1363.40,807.95
238,54,1,44,5,184.98,129.69,924.90,648.45
239,54,2,239,2,6975.91,5719.14,13951.82,11438.28
240,54,3,252,3,20.41,9.46,61.23,28.38
241,54,4,183,1,1723.65,1076.75,1723.65,1076.75
242,54,5,8,10,77.90,54.61,779.00,546.10
243,54,6,87,4,393.79,259.51,1575.16,1038.04
244,54,7,195,4,113.71,65.91,454.84,263.64
245,55,1,146,6,84.81,49.53,508.86,297.18
246,55,2,137,2,255.01,172.16,510.02,344.32
247,55,3,129,1,1291.85,726.37,1291.85,726.37
248,56,1,211,5,429.99,269.84,2149.95,1349.20
249,56,2,116,3,366.06,217.30,1098.18,651.90
250,56,3,129,1,1294.88,726.37,1294.88,726.37
251,56,4,253,3,21.19,9.90,63.57,29.70
252,56,5,159,5,481.62,304.57,2408.10,1522.85
253,57,1,58,2,266.96,164.52,533.92,329.04
254,57,2,18,8,79.48,55.75,635.84,446.00
255,57,3,92,2,408.90,252.26,817.80,504.52
256,57,4,97,5,105.86,69.29,529.30,346.45
257,58,1,4,3,41.30,30.33,123.90,90.99
258,58,2,47,3,138.74,99.31,416.22,297.93
259,59,1,32,4,161.28,115.43,645.12,461.72
260,59,2,66,1,179.88,112.64,179.88,112.64
261,59,3,69,4,407.40,255.29,1629.60,1021.16
262,59,4,247,6,16.25,7.68,97.50,46.08
263,59,5,101,2,80.24,51.58,160.48,103.16
264,59,6,6,1,104.74,75.01,104.74,75.01
265,59,7,239,1,7339.01,5719.14,7339.01,5719.14
266,60,1,205,5,404.27,245.59,2021.35,1227.95
267,60,2,44,5,186.11,129.69,930.55,648.45
268,60,3,175,13,16.90,10.27,219.70,133.51
269,60,4,272,5,336.49,163.65,1682.45,818.25
270,61,1,28,1,341.45,247.12,341.45,247.12
271,61,2,4,1,41.14,30.33,41.14,30.33
272,61,3,199,8,27.36,16.45,218.88,131.60
273,61,4,226,1,2239.88,1334.85,2239.88,1334.85
274,62,1,60,2,108.03,68.28,216.06,136.56
275,62,2,150,3,82.65,45.99,247.95,137.97
276,63,1,42,2,250.51,175.00,501.02,350.00
277,63,2,168,25,34.09,19.48,852.25,487.00
278,63,3,38,5,232.96,174.59,1164.80,872.95
279,63,4,192,4,167.84,105.15,671.36,420.60
280,63,5,198,8,69.86,41.67,558.88,333.36
281,64,1,75,3,372.01,243.51,1116.03,730.53
282,64,2,28,3,340.17,247.12,1020.51,741.36
283,64,3,50,1,241.90,171.06,241.90,171.06
284,65,1,26,4,174.73,130.99,698.92,523.96
285,65,2,143,6,319.77,190.22,1918.62,1141.32
286,65,3,234,2,2000.92,1218.79,4001.84,2437.58
287,65,4,77,4,480.12,296.75,1920.48,1187.00
288,65,5,38,6,241.28,174.59,1447.68,1047.54
289,66,1,252,8,19.78,9.46,158.24,75.68
290,66,2,99,4,69.28,44.42,277.12,177.68
291,66,3,228,1,1123.62,690.49,1123.62,690.49
292,67,1,260,4,165.90,78.42,663.60,313.68
293,67,2,97,1,104.75,69.29,104.75,69.29
294,67,3,3,3,99.03,70.09,297.09,210.27
295,67,4,26,1,175.05,130.99,175.05,130.99
296,67,5,206,3,307.26,184.30,921.78,552.90
297,68,1,18,9,78.25,55.75,704.25,501.75
298,68,2,56,3,235.86,142.91,707.58,428.73
299,68,3,161,2,722.48,470.35,1444.96,940.70
300,68,4,20,7,35.24,25.79,246.68,180.53
301,69,1,221,2,992.54,599.98,1985.08,1199.96
302,69,2,93,3,92.45,58.98,277.35,176.94
303,69,3,253,6,21.67,9.90,130.02,59.40
304,69,4,20,8,36.26,25.79,290.08,206.32
305,70,1,141,10,64.02,35.22,640.20,352.20
306,70,2,71,2,1156.97,733.45,2313.94,1466.90
307,70,3,148,4,166.48,88.92,665.92,355.68
308,70,4,52,1,244.68,153.81,244.68,153.81
309,70,5,59,4,223.76,147.29,895.04,589.16
310,71,1,126,1,1021.59,535.17,1021.59,535.17
311,71,2,77,4,472.36,296.75,1889.44,1187.00
312,72,1,88,6,416.10,276.69,2496.60,1660.14
313,72,2,166,16,6.89,4.08,110.24,65.28
314,72,3,204,4,14.68,8.81,58.72,35.24
315,73,1,38,5,239.03,174.59,1195.15,872.95
316,73,2,48,1,87.22,61.40,87.22,61.40
317,74,1,116,6,361.90,217.30,2171.40,1303.80
318,74,2,8,5,77.99,54.61,389.95,273.05
319,74,3,90,5,395.87,242.21,1979.35,1211.05
320,74,4,43,1,211.75,153.24,211.75,153.24
321,74,5,10,7,72.81,53.68,509.67,375.76
322,75,1,162,4,371.04,237.76,1484.16,951.04
323,75,2,61,1,554.72,357.60,554.72,357.60
324,75,3,66,1,182.79,112.64,182.79,112.64
325,75,4,38,6,234.80,174.59,1408.80,1047.54
326,75,5,90,1,394.23,242.21,394.23,242.21
327,76,1,145,5,172.92,100.72,864.60,503.60
328,76,2,75,1,380.96,243.51,380.96,243.51
329,76,3,97,6,103.85,69.29,623.10,415.74
330,77,1,245,10,16.26,8.11,162.60,81.10
331,77,2,242,1,5079.25,4196.49,5079.25,4196.49
332,77,3,141,2,63.41,35.22,126.82,70.44
333,77,4,58,2,255.66,164.52,511.32,329.04
334,77,5,89,7,49.69,31.20,347.83,218.40
335,77,6,137,5,262.32,172.16,1311.60,860.80
336,78,1,163,1,363.46,220.69,363.46,220.69
337,78,2,145,1,174.78,100.72,174.78,100.72
338,79,1,138,3,196.60,123.14,589.80,369.42
339,79,2,265,4,122.01,60.52,488.04,242.08
340,79,3,226,1,2239.97,1334.85,2239.97,1334.85
341,79,4,92,3,404.35,252.26,1213.05,756.78
342,79,5,101,4,78.94,51.58,315.76,206.32
343,79,6,17,10,33.14,23.28,331.40,232.80
344,79,7,38,4,244.42,174.59,977.68,698.36
345,79,8,7,3,25.23,18.82,75.69,56.46
346,79,9,84,1,416.14,267.56,416.14,267.56
347,79,10,273,2,246.98,122.95,493.96,245.90
348,80,1,234,2,1975.88,1218.79,3951.76,2437.58
349,80,2,46,10,84.94,60.55,849.40,605.50
350,80,3,182,2,2240.18,1325.06,4480.36,2650.12
351,80,4,175,25,17.06,10.27,426.50,256.75
352,81,1,246,5,23.80,11.26,119.00,56.30
353,81,2,19,10,73.63,52.18,736.30,521.80
354,81,3,187,5,123.21,70.85,616.05,354.25
355,81,4,12,1,63.79,45.81,63.79,45.81
356,81,5,216,2,2154.58,1385.43,4309.16,2770.86
357,81,6,176,21,24.14,14.05,506.94,295.05
358,82,1,22,2,63.21,45.14,126.42,90.28
359,82,2,16,6,51.22,36.85,307.32,221.10
360,82,3,119,4,295.58,182.25,1182.32,729.00
361,82,4,104,4,165.23,107.15,660.92,428.60
362,82,5,82,1,532.60,340.38,532.60,340.38
363,83,1,170,7,21.35,12.02,149.45,84.14
364,83,2,189,1,197.11,109.77,197.11,109.77
365,83,3,121,1,1122.45,678.48,1122.45,678.48
366,84,1,166,16,6.80,4.08,108.80,65.28
367,84,2,174,15,37.66,22.98,564.90,344.70
368,84,3,18,1,79.23,55.75,79.23,55.75
369,84,4,277,2,219.79,108.03,439.58,216.06
370,85,1,63,3,213.15,135.74,639.45,407.22
371,85,2,2,6,115.42,82.34,692.52,494.04
372,85,3,23,1,183.35,136.55,183.35,136.55
373,85,4,134,1,92.64,54.48,92.64,54.48
374,85,5,110,4,167.93,111.91,671.72,447.64
375,85,6,30,1,322.02,233.56,322.02,233.56
376,85,7,24,2,260.48,184.51,520.96,369.02
377,86,1,38,5,238.11,174.59,1190.55,872.95
378,86,2,264,4,65.22,30.09,260.88,120.36
379,86,3,23,3,183.28,136.55,549.84,409.65
380,86,4,46,6,83.06,60.55,498.36,363.30
381,86,5,121,2,1105.04,678.48,2210.08,1356.96
382,86,6,23,2,183.60,136.55,367.20,273.10
383,87,1,59,4,234.39,147.29,937.56,589.16
384,87,2,96,8,66.54,41.96,532.32,335.68
385,88,1,83,4,183.45,111.62,733.80,446.48
386,88,2,82,1,546.60,340.38,546.60,340.38
387,88,3,5,6,100.14,72.66,600.84,435.96
388,88,4,82,1,544.64,340.38,544.64,340.38
389,88,5,146,9,82.33,49.53,740.97,445.77
390,89,1,33,1,121.30,86.36,121.30,86.36
391,89,2,116,6,364.23,217.30,2185.38,1303.80
392,89,3,89,5,49.40,31.20,247.00,156.00
393,89,4,20,2,35.83,25.79,71.66,51.58
394,89,5,126,1,978.77,535.17,978.77,535.17
395,90,1,63,3,212.22,135.74,636.66,407.22
396,90,2,156,2,172.48,97.55,344.96,195.10
397,90,3,84,1,422.39,267.56,422.39,267.56
398,90,4,97,1,107.37,69.29,107.37,69.29
399,90,5,115,1,404.66,260.50,404.66,260.50
400,90,6,127,2,885.80,569.85,1771.60,1139.70
401,91,1,257,9,11.22,5.19,100.98,46.71
402,91,2,58,5,262.76,164.52,1313.80,822.60
403,91,3,85,1,62.55,40.40,62.55,40.40
404,91,4,60,2,108.90,68.28,217.80,136.56
405,91,5,40,4,333.85,237.13,1335.40,948.52
406,91,6,44,1,182.92,129.69,182.92,129.69
407,92,1,123,2,1070.74,572.68,2141.48,1145.36
408,92,2,38,6,237.70,174.59,1426.20,1047.54
409,92,3,184,2,788.32,495.82,1576.64,991.64
410,92,4,88,6,421.41,276.69,2528.46,1660.14
411,92,5,105,5,146.24,94.23,731.20,471.15
412,92,6,259,4,124.57,60.11,498.28,240.44
413,93,1,174,8,37.81,22.98,302.48,183.84
414,93,2,279,3,348.16,171.59,1044.48,514.77
415,93,3,174,23,37.14,22.98,854.22,528.54
416,93,4,78,1,1228.10,799.53,1228.10,799.53
417,94,1,246,7,23.13,11.26,161.91,78.82
418,94,2,197,5,61.65,35.43,308.25,177.15
419,94,3,275,1,211.10,97.92,211.10,97.92
420,94,4,193,5,103.56,59.27,517.80,296.35
421,95,1,79,1,660.14,423.61,660.14,423.61
422,95,2,253,4,21.35,9.90,85.40,39.60
423,95,3,60,1,108.86,68.28,108.86,68.28
424,95,4,1,2,71.71,51.68,143.42,103.36
425,95,5,46,7,84.65,60.55,592.55,423.85
426,95,6,47,6,141.40,99.31,848.40,595.86
